light_id,x,y,z,status,hits,bounce0_nodes,bounce1_nodes,contributions
197,0.112,2.000,-0.382,SCENE_VALID,1,1,0,0
198,0.399,1.829,0.232,SCENE_VALID,1,1,0,0
199,0.070,2.177,0.011,SCENE_VALID,1,1,1,0
200,-0.367,1.989,-0.250,SCENE_VALID,1,1,0,0
201,-0.238,1.835,0.388,SCENE_VALID,1,1,1,0
202,0.259,2.182,-0.368,SCENE_VALID,1,1,0,0
203,0.356,1.978,0.200,SCENE_VALID,1,1,0,0
204,-0.097,1.841,0.050,SCENE_VALID,1,1,1,0
205,-0.400,2.186,-0.279,SCENE_VALID,1,1,0,0
206,-0.085,1.967,0.395,SCENE_VALID,1,1,0,0
207,0.361,1.848,-0.352,SCENE_VALID,1,1,0,0
208,0.250,2.190,0.166,SCENE_VALID,0,0,0,0
209,-0.248,1.956,0.087,SCENE_VALID,1,1,0,0
210,-0.362,1.856,-0.305,SCENE_VALID,1,1,0,0
211,0.082,2.193,0.399,SCENE_VALID,1,1,0,0
212,0.400,1.945,-0.332,SCENE_VALID,1,1,0,0
213,0.100,1.864,0.130,SCENE_VALID,0,0,0,0
214,-0.354,2.196,0.124,SCENE_VALID,1,1,0,0
215,-0.261,1.934,-0.328,SCENE_VALID,1,1,0,0
216,0.235,1.872,0.400,SCENE_VALID,1,1,0,0
217,0.368,2.198,-0.309,SCENE_VALID,1,1,0,0
218,-0.068,1.924,0.094,SCENE_VALID,1,1,0,0
219,-0.399,1.881,0.160,SCENE_VALID,1,1,0,0
220,-0.114,2.199,-0.349,SCENE_VALID,1,1,1,0
221,0.347,1.914,0.396,SCENE_VALID,1,1,1,0
222,0.272,1.890,-0.284,SCENE_VALID,1,1,1,0
223,-0.223,2.200,0.056,SCENE_VALID,1,1,0,0
224,-0.374,1.904,0.194,SCENE_VALID,1,1,1,0
225,0.053,1.900,-0.366,SCENE_VALID,1,1,0,0
226,0.398,2.200,0.389,SCENE_VALID,1,1,1,0
227,0.129,1.894,-0.256,SCENE_VALID,1,1,0,0
228,-0.339,1.909,0.018,SCENE_VALID,1,1,0,0
229,-0.283,2.199,0.226,SCENE_VALID,0,0,0,0
230,0.210,1.885,-0.379,SCENE_VALID,1,1,0,0
231,0.379,1.919,0.379,SCENE_VALID,1,1,1,0
232,-0.038,2.198,-0.225,SCENE_VALID,0,0,0,0
233,-0.396,1.876,-0.020,SCENE_VALID,1,1,0,0
234,-0.143,1.930,0.257,SCENE_VALID,1,1,0,0
235,0.331,2.197,-0.390,SCENE_VALID,1,1,1,0
236,0.294,1.867,0.365,SCENE_VALID,1,1,0,0
237,-0.197,1.940,-0.193,SCENE_VALID,1,1,1,0
238,-0.384,2.194,-0.058,SCENE_VALID,1,1,0,0
239,0.023,1.859,0.285,SCENE_VALID,1,1,0,0
240,0.394,1.951,-0.397,SCENE_VALID,1,1,0,0
241,0.157,2.191,0.348,SCENE_VALID,1,1,0,0
242,-0.323,1.851,-0.158,SCENE_VALID,1,1,0,0
243,-0.304,1.962,-0.095,SCENE_VALID,1,1,1,0
244,0.184,2.188,0.310,SCENE_VALID,1,1,0,0
245,0.388,1.844,-0.400,SCENE_VALID,1,1,0,0
246,-0.008,1.973,0.327,SCENE_VALID,1,1,1,0
247,-0.391,2.184,-0.123,SCENE_VALID,0,0,0,0
248,-0.171,1.837,-0.132,SCENE_VALID,0,0,0,0
249,0.313,1.984,0.333,SCENE_VALID,1,1,0,0
250,0.313,2.179,-0.399,SCENE_VALID,1,1,1,0
251,-0.171,1.831,0.304,SCENE_VALID,1,1,1,0
252,-0.391,1.995,-0.086,SCENE_VALID,1,1,0,0
253,-0.008,2.174,-0.167,SCENE_VALID,0,0,0,0
254,0.388,1.825,0.353,SCENE_VALID,1,1,1,0
255,0.184,2.006,-0.395,SCENE_VALID,1,1,1,0
256,-0.304,2.168,0.278,SCENE_VALID,1,1,0,0
257,-0.323,1.820,-0.048,SCENE_VALID,1,1,0,0
258,0.157,2.018,-0.201,SCENE_VALID,1,1,0,0
